"Date","IE","Chrome","Firefox","Safari","Opera","Edge","360 Safe Browser","Maxthon","Yandex Browser","Sogou Explorer","Chromium","Sony PS3","Mozilla","QQ Browser","Coc Coc","Android","AOL","SeaMonkey","RockMelt","Pale Moon","Iron","TheWorld","Flock","UC Browser","Phantom","Iceweasel","Other"
2009-1,64.04,1.55,28.16,2.63,2.94,0,0,0,0,0,0,0.08,0.15,0,0,0,0.26,0.04,0,0,0,0,0.01,0,0,0.01,0.13
2009-2,61.12,2.45,29.57,2.78,3.19,0,0,0,0,0,0,0.1,0.38,0,0,0,0.21,0.03,0,0,0,0,0.02,0,0,0.01,0.13
2009-3,59.03,3.37,31.05,3.19,2.65,0,0,0,0,0,0,0.14,0.24,0,0,0,0.19,0.03,0,0,0,0,0.01,0,0,0.01,0.1
2009-4,56.73,4.78,32,3.54,1.99,0,0,0.1,0,0,0,0.14,0.44,0,0,0,0.16,0.03,0,0,0,0,0.01,0,0,0,0.09
2010-1,54.67,6.79,31.53,4.03,1.98,0,0,0.31,0,0,0,0.14,0.25,0,0,0,0.14,0.03,0,0,0,0,0.03,0,0,0,0.1
2010-2,52.96,8.64,31.51,4.15,1.89,0,0,0.24,0,0,0,0.14,0.15,0,0,0,0.12,0.03,0,0,0,0,0.03,0,0,0,0.13
2010-3,51.35,10.7,31.08,4.24,1.94,0,0,0.19,0,0,0,0.15,0.11,0,0,0,0.1,0.03,0,0,0,0,0.03,0,0,0,0.09
2010-4,48.1,13.54,31.06,4.69,2.03,0,0,0.17,0,0,0,0.14,0.09,0,0,0,0.06,0.03,0,0,0,0,0.03,0,0,0,0.07
2011-1,45.51,16.55,30.34,5.06,1.99,0,0,0.16,0,0,0,0.14,0.07,0,0,0.01,0.05,0.03,0,0,0,0,0.02,0,0,0,0.06
2011-2,44,19.42,29.11,5.04,1.83,0,0,0.16,0,0,0.04,0.14,0.05,0,0,0.03,0.03,0.02,0.03,0,0.02,0,0.02,0,0,0,0.06
2011-3,42,22.96,27.42,5.31,1.68,0,0,0.15,0,0,0.05,0.15,0.03,0,0,0.06,0.01,0.02,0.03,0,0.02,0,0.02,0,0,0,0.06
2011-4,39.84,25.95,25.65,5.98,1.87,0,0,0.12,0,0,0.07,0.14,0.03,0,0,0.15,0.01,0.03,0.03,0,0.02,0.01,0.01,0,0,0,0.08
