"Date","Chrome","Safari","Android","UC Browser","Opera","Nokia","BlackBerry","Samsung Internet","IEMobile","NetFront","Unknown","Dolfin","Firefox","Samsung","Openwave","QQ Browser","Puffin","SonyEricsson","Obigo","Jasmine","Sony PSP","Edge","Phantom","Baidu Browser","Yandex Browser","Nintendo 3DS","MeeGo","Sony PSP Vita","Tizen","Bolt","Opera Mini","Palm","Motorola","LG","iBrowser","Other"
2009-1,0,37.58,2.07,0,22.92,17.99,5.54,0,1.35,1.42,0,0,0,0,2.46,0,0,3.21,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,1.45
2009-2,0,38.12,1.27,0,24.02,17.79,7.13,0,1.04,1.57,0,0,0,0,2.02,0,0,2.96,0,0,2.76,0,0,0,0,0,0,0,0,0.01,0,0,0.29,0,0,1.03
2009-3,0,33.01,2.27,0,25.66,19.31,8.48,0,1,3.28,0,0,0,0.56,1.69,0,0,0.88,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0.43,0.32,0.34,0,0.62
2009-4,0,31.41,3.36,0,26.61,19.66,9.16,0,0.68,3.51,0,0,0,0.85,1.29,0,0,0.28,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0.58,0.3,0.34,0,0.41
2010-1,0,31.92,5.4,0.59,25.65,17.09,11.27,0,0.41,3.18,0,0,0,0.89,0.89,0,0,0.29,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.5,0.26,0.25,0,0.28
2010-2,0,28.3,6.46,1.17,26.23,15.41,14.07,0,0.27,3.23,0,0,0,0.87,0.7,0,0,0.32,0,0,1.06,0,0,0,0,0,0,0,0,0.48,0,0.55,0.23,0.19,0,0.45
2010-3,0,24.62,8.94,0.97,23.99,16.53,16.88,0,0.2,3.52,0,0,0,0.96,0.64,0,0,0.37,0,0,0.69,0,0,0,0,0,0,0,0,0.55,0,0.47,0.25,0.13,0,0.32
2010-4,0,22.52,11.65,0.92,22.09,16.25,18.3,0,0.14,3.76,0,0,0,1.24,0.63,0,0,0.4,0,0,0.39,0,0,0,0,0,0,0,0,0.5,0,0.32,0.31,0.09,0,0.49
2011-1,0,24.53,14.75,0.74,21.07,15.75,14.35,0,0.33,3.82,0,0,0,1.8,0.56,0,0,0.43,0,0,0.35,0,0,0,0,0,0,0,0,0.38,0,0.23,0.36,0.08,0,0.46
2011-2,0,21.63,16.64,0.58,22.2,16.87,12.66,0,0.35,2.92,1.26,0.58,0,0.61,0.41,0,0,0.44,0.68,0.74,0.28,0,0,0,0,0,0,0,0,0.33,0,0.14,0.29,0.07,0,0.33
2011-3,0,20.08,19.25,0.88,22.02,16.72,11.51,0,0.35,3.84,0.05,0.93,0,0.62,0.31,0,0,0.41,0.95,0.86,0.25,0,0,0,0,0,0,0,0,0.32,0,0.09,0.24,0.06,0,0.24
2011-4,0,23.31,20.49,4.92,22.81,12.44,8.29,0,0.39,3.1,0.02,0.96,0.07,0.61,0.27,0,0,0.27,0.64,0.52,0.28,0,0,0,0,0.02,0.01,0,0,0.24,0,0.07,0.02,0.05,0,0.2
2012-1,0.02,24.35,21.7,5.89,22.66,11.66,6.46,0,0.43,3.05,0.02,1.1,0.15,0.63,0.18,0,0,0.22,0.46,0.44,0.2,0,0,0,0,0.12,0.03,0,0,0,0,0.04,0.01,0.04,0.02,0.14
2012-2,0.06,23.68,21.45,8.26,21.61,11.31,5.38,0,0.54,3.64,0.23,1.36,0.14,0.67,0.14,0.01,0,0.17,0.38,0.43,0.18,0,0,0,0,0.14,0.03,0,0,0,0,0.02,0.01,0.04,0.03,0.11
2012-3,0.56,24.23,24.23,7.77,19.34,10.31,4.45,0,0.75,3.89,0.65,1.23,0.44,0.57,0.1,0.05,0,0.12,0.29,0.35,0.16,0,0.05,0,0,0.16,0.03,0,0,0,0,0.01,0,0.03,0.11,0.11
2012-4,0.63,23.5,27.15,9.04,17.9,9.52,3.62,0,0.84,3.82,0.6,1.03,0.51,0.53,0.07,0.06,0,0.1,0.23,0.29,0.12,0,0.09,0,0,0.14,0.03,0,0,0,0,0.01,0,0.02,0.07,0.09
2013-1,1.48,26.66,31.04,8.8,15.43,7.12,3.02,0,1.1,2.56,0.43,0.67,0.28,0.41,0.06,0.05,0,0.07,0.14,0.16,0.1,0,0.09,0,0,0.16,0.03,0,0,0,0,0.01,0,0.01,0.04,0.09
2013-2,2.76,25.7,30.14,9.25,15.63,7.18,3.06,0,1.33,2.39,0.4,0.59,0.34,0.37,0.04,0.05,0,0.06,0.11,0.14,0.09,0,0.1,0,0,0.12,0.02,0,0,0,0,0,0,0.01,0.04,0.08
2013-3,4.23,23.46,28.48,11.19,16.16,6.91,3.13,0,1.63,2.34,0.34,0.48,0.38,0.2,0.21,0.05,0.19,0.04,0.08,0.1,0.07,0,0.09,0,0,0.06,0.02,0,0,0,0,0,0,0.02,0.04,0.1
2013-4,6.19,20.95,26.34,11.29,18.83,6.57,3.04,0,1.91,2.38,0.48,0.41,0.39,0.15,0.23,0.06,0.17,0.08,0.12,0.1,0.03,0,0.11,0,0,0.03,0.02,0,0,0,0,0,0,0.02,0.02,0.09
2014-1,11.5,22.47,26.38,11.34,13.73,5.63,2.29,0,2.18,2.07,0.53,0.36,0.37,0.12,0.21,0.09,0.15,0.09,0.09,0.08,0.02,0,0.09,0.01,0.01,0.02,0.01,0.05,0,0,0,0,0,0.02,0.02,0.1
2014-2,17.88,22.66,25.07,10.41,11.77,4.42,1.64,0,2.37,1.64,0.5,0.29,0.41,0.09,0.15,0.08,0.14,0.08,0.06,0.06,0.01,0,0.07,0.04,0.02,0.02,0.01,0.05,0,0,0,0,0,0.01,0.01,0.04
2014-3,22.93,23.48,22.24,9.92,10.78,3.77,1.32,0,2.34,1.28,0.46,0.23,0.44,0.05,0.11,0.1,0.1,0.08,0.05,0.04,0.01,0,0.06,0.05,0.02,0.01,0.01,0.05,0,0,0.01,0,0,0.01,0.01,0.05
2014-4,28.97,23.31,20.11,9.88,8.92,2.88,1.08,0,2.28,0.89,0.37,0.16,0.42,0.03,0.08,0.11,0.09,0.06,0.03,0.03,0.01,0,0.04,0.07,0.02,0.02,0.01,0.04,0,0,0.02,0,0,0.01,0,0.05
2015-1,30.48,21.53,18.86,12.15,8.87,2.6,1.02,0,2.13,0.68,0.32,0.14,0.4,0.03,0.07,0.19,0.1,0.06,0.03,0.02,0,0,0.03,0.07,0.03,0.02,0.02,0.05,0.02,0,0.03,0,0,0.01,0,0.04
2015-2,32.82,19.06,16.92,14.39,10.34,1.35,0.96,0,2.13,0.44,0.27,0.11,0.37,0.01,0.06,0.22,0.08,0.06,0.02,0.02,0,0,0.03,0.1,0.03,0.01,0.03,0.04,0.04,0,0.03,0,0,0.01,0,0.04
2015-3,33.9,17.74,14.4,15.88,12.73,0.62,0.95,0,2.04,0.32,0.22,0.09,0.32,0.01,0.04,0.25,0.08,0.05,0.02,0.01,0,0.01,0.02,0.07,0.04,0.01,0.04,0.03,0.05,0,0.04,0,0,0,0,0.02
2015-4,36.7,17.37,11.91,17.66,11.73,0.41,0.82,0,2.05,0.27,0.2,0.07,0.11,0.03,0.03,0.15,0.09,0.04,0.02,0.01,0,0.02,0.02,0.05,0.05,0.01,0.04,0.03,0.04,0,0.04,0,0,0,0,0.01
2016-1,35.82,18,9.6,19.42,10.82,0.33,0.75,2.31,1.79,0.21,0.18,0.06,0.1,0.03,0.03,0.09,0.09,0.04,0.01,0.01,0,0.06,0.02,0.04,0.05,0.01,0.04,0.03,0.03,0,0.04,0,0,0,0,0.01
2016-2,35.52,17.89,7.93,18.31,10.89,0.28,0.7,5.8,1.57,0.19,0.17,0.05,0.09,0,0.02,0.1,0.09,0.04,0.01,0.01,0,0.11,0.02,0.03,0.04,0,0.04,0.02,0.01,0,0.04,0,0,0,0,0.01
2016-3,38.91,18.34,6.79,15.42,10.52,0.23,0.52,6.79,1.36,0.17,0.15,0.04,0.08,0,0.02,0.1,0.11,0.04,0.01,0,0,0.15,0.01,0.03,0.05,0,0.04,0.02,0.02,0,0.04,0,0,0,0,0.01
2016-4,42.54,17.52,5.32,17.13,8.51,0.17,0.41,6.4,1.03,0.12,0.13,0.03,0.07,0,0.01,0.06,0.11,0.04,0.01,0,0,0.14,0.01,0.02,0.06,0,0.03,0.02,0.06,0,0.04,0,0,0,0,0.01
2017-1,45.91,18.04,4.46,16.71,6.1,0.14,0.34,6.53,0.85,0.07,0.1,0.02,0.06,0,0.01,0.07,0.12,0.03,0,0,0,0.14,0.01,0.02,0.07,0,0.03,0.02,0.1,0,0.04,0,0,0,0,0
